,Community Area Number,Community Area Name,Level 1,Level 2,Level 3,Total_schools,Percent_level1,Percent_level2,Percent_level3
0,1,ROGERS PARK,0,4,2,6,0.0,66.67,33.33
1,2,WEST RIDGE,7,1,0,8,87.5,12.5,0.0
2,3,UPTOWN,3,4,0,7,42.86,57.14,0.0
3,4,LINCOLN SQUARE,2,2,1,5,40.0,40.0,20.0
4,5,NORTH CENTER,5,1,0,6,83.33,16.67,0.0
5,6,LAKE VIEW,7,4,0,11,63.64,36.36,0.0
6,7,LINCOLN PARK,4,3,0,7,57.14,42.86,0.0
7,8,NEAR NORTH SIDE,2,2,2,6,33.33,33.33,33.33
8,9,EDISON PARK,1,0,0,1,100.0,0.0,0.0
9,10,NORWOOD PARK,6,1,0,7,85.71,14.29,0.0
10,11,JEFFERSON PARK,1,1,0,2,50.0,50.0,0.0
11,12,FOREST GLEN,3,0,0,3,100.0,0.0,0.0
12,13,NORTH PARK,3,1,0,4,75.0,25.0,0.0
13,14,ALBANY PARK,2,5,1,8,25.0,62.5,12.5
14,15,PORTAGE PARK,3,2,1,6,50.0,33.33,16.67
15,16,IRVING PARK,4,3,2,9,44.44,33.33,22.22
16,17,DUNNING,4,2,0,6,66.67,33.33,0.0
17,18,MONTCLARE,1,0,0,1,100.0,0.0,0.0
18,19,BELMONT CRAGIN,0,6,4,10,0.0,60.0,40.0
19,20,HERMOSA,0,2,2,4,0.0,50.0,50.0
20,21,AVONDALE,1,2,0,3,33.33,66.67,0.0
21,22,LOGAN SQUARE,2,7,2,11,18.18,63.64,18.18
22,23,HUMBOLDT PARK,2,3,7,12,16.67,25.0,58.33
23,24,WEST TOWN,8,6,5,19,42.11,31.58,26.32
24,25,AUSTIN,2,11,10,23,8.7,47.83,43.48
25,26,WEST GARFIELD PARK,1,2,5,8,12.5,25.0,62.5
26,27,EAST GARFIELD PARK,3,6,4,13,23.08,46.15,30.77
27,28,NEAR WEST SIDE,8,3,4,15,53.33,20.0,26.67
28,29,NORTH LAWNDALE,1,4,10,15,6.67,26.67,66.67
29,30,SOUTH LAWNDALE,4,13,4,21,19.05,61.9,19.05
30,31,LOWER WEST SIDE,3,6,2,11,27.27,54.55,18.18
31,32,LOOP,1,0,0,1,100.0,0.0,0.0
32,33,NEAR SOUTH SIDE,2,0,0,2,100.0,0.0,0.0
33,34,ARMOUR SQUARE,2,0,0,2,100.0,0.0,0.0
34,35,DOUGLAS,1,4,6,11,9.09,36.36,54.55
35,36,OAKLAND,0,0,1,1,0.0,0.0,100.0
36,37,FULLER PARK,0,0,2,2,0.0,0.0,100.0
37,38,GRAND BOULEVARD,0,1,7,8,0.0,12.5,87.5
38,39,KENWOOD,1,3,3,7,14.29,42.86,42.86
39,40,WASHINGTON PARK,1,0,4,5,20.0,0.0,80.0
40,41,HYDE PARK,1,1,2,4,25.0,25.0,50.0
41,42,WOODLAWN,0,1,7,8,0.0,12.5,87.5
42,43,SOUTH SHORE,1,1,6,8,12.5,12.5,75.0
43,44,CHATHAM,2,4,3,9,22.22,44.44,33.33
44,45,AVALON PARK,0,1,2,3,0.0,33.33,66.67
45,46,SOUTH CHICAGO,0,2,5,7,0.0,28.57,71.43
46,47,BURNSIDE,0,1,0,1,0.0,100.0,0.0
47,48,CALUMET HEIGHTS,2,3,1,6,33.33,50.0,16.67
48,49,ROSELAND,3,2,8,13,23.08,15.38,61.54
49,50,PULLMAN,1,2,2,5,20.0,40.0,40.0
50,51,SOUTH DEERING,1,1,2,4,25.0,25.0,50.0
51,52,EAST SIDE,1,4,0,5,20.0,80.0,0.0
52,53,WEST PULLMAN,1,5,4,10,10.0,50.0,40.0
53,54,RIVERDALE,0,1,3,4,0.0,25.0,75.0
54,55,HEGEWISCH,0,2,0,2,0.0,100.0,0.0
55,56,GARFIELD RIDGE,2,0,3,5,40.0,0.0,60.0
56,57,ARCHER HEIGHTS,0,1,1,2,0.0,50.0,50.0
57,58,BRIGHTON PARK,3,5,0,8,37.5,62.5,0.0
58,59,MCKINLEY PARK,0,3,0,3,0.0,100.0,0.0
59,60,BRIDGEPORT,2,3,0,5,40.0,60.0,0.0
60,61,NEW CITY,2,8,3,13,15.38,61.54,23.08
61,62,WEST ELSDON,1,1,1,3,33.33,33.33,33.33
62,63,GAGE PARK,1,4,3,8,12.5,50.0,37.5
63,64,CLEARING,2,1,0,3,66.67,33.33,0.0
64,65,WEST LAWN,1,2,0,3,33.33,66.67,0.0
65,66,CHICAGO LAWN,0,2,5,7,0.0,28.57,71.43
66,67,WEST ENGLEWOOD,1,4,7,12,8.33,33.33,58.33
67,68,ENGLEWOOD,0,8,9,17,0.0,47.06,52.94
68,69,GREATER GRAND CROSSING,0,5,5,10,0.0,50.0,50.0
69,70,ASHBURN,2,5,1,8,25.0,62.5,12.5
70,71,AUBURN GRESHAM,0,2,8,10,0.0,20.0,80.0
71,72,BEVERLY,1,3,0,4,25.0,75.0,0.0
72,73,WASHINGTON HEIGHTS,2,5,2,9,22.22,55.56,22.22
73,74,MOUNT GREENWOOD,3,1,0,4,75.0,25.0,0.0
74,75,MORGAN PARK,0,3,1,4,0.0,75.0,25.0
75,76,OHARE,1,0,0,1,100.0,0.0,0.0
76,77,EDGEWATER,1,3,2,6,16.67,50.0,33.33
